verse_number,tantra,section,english_title
"62","Payiram","IN PRAISE OF GOD","Agamas Transmitted"
"63","Payiram","IN PRAISE OF GOD","। Nine Agamas"
"64","Payiram","IN PRAISE OF GOD","Import Of Agamas"
"65","Payiram","IN PRAISE OF GOD","Revealed Aiike In Sanskrit and Tamil"
"66","Payiram","IN PRAISE OF GOD","Key To Mystery Of Life"
"67","Payiram","THE GURU HIERARCHY","Eight Masters"
"68","Payiram","THE GURU HIERARCHY","Eight Nathas"
"69","Payiram","THE GURU HIERARCHY","Seven Disciples"
"70","Payiram","THE GURU HIERARCHY","Four Nandis-"
"71","Payiram","THE GURU HIERARCHY","Lord Transcends What He Revealed"
"72","Payiram","THE GURU HIERARCHY","Nandis Attain Celestial State"
"73","Payiram","HISTORY OF TIRUMULAR","In Meekness And Prayer"
"74","Payiram","HISTORY OF TIRUMULAR","Witnessed Divine Dance _"
"75","Payiram","HISTORY OF TIRUMULAR","Lost In Sakti Devotion"
"76","Payiram","IN PRAISE OF GOD","Mystic Truths Flashed"
"77","Payiram","IN PRAISE OF GOD",", Import Of Siva’s Dance"
"78","Payiram","IN PRAISE OF GOD","Devotion To Sakti"
"79","Payiram","IN PRAISE OF GOD","Under The Sacred Bodhi- Tree"
"80","Payiram","IN PRAISE OF GOD","Countless Years In Mortal Body"
"81","Payiram","IN PRAISE OF GOD","Agamic Truths In Tamil"
"82","Payiram","IN PRAISE OF GOD","Through Ninety Million Yugas"
"83","Payiram","IN PRAISE OF GOD","From Kailas 1௦ Earth"
"84","Payiram","IN PRAISE OF GOD","Scriptures"
"85","Payiram","IN PRAISE OF GOD","Bliss To Humanity"
"86","Payiram","IN PRAISE OF GOD","Garland Of Mantras"
"87","Payiram","IN PRAISE OF GOD","Splendour Of Tamil Agamas"
"88","Payiram","IN PRAISE OF GOD","Baffling Quest Of Brahma And Vishnu"
"89","Payiram","IN PRAISE OF GOD","Lord Blessed Tirumular"
"90","Payiram","IN PRAISE OF GOD","Basic Spiritual Categories"
"91","Payiram","IN PRAISE OF GOD","From Siva's Seat To Earth"
"92","Payiram","IN PRAISE OF GOD","Form-Formless Sadasiva State"
"93","Payiram","IN PRAISE OF GOD","God Within Vedic Hymns"
"94","Payiram","IN PRAISE OF GOD","Night And Day Yearn For Him"
"95","Payiram","IN HUMILITY","Infinite Greatness"
"96","Payiram","IN HUMILITY","Poor Qualifications"
"97","Payiram","IN HUMILITY","Power of Prayer"
"98","Payiram","IN HUMILITY","Gods Deep Mystery"
"99","Payiram","THE GLORY OF HOLY HYMNS 3000","HOLY HYMNS 3000"
"100","Payiram","THE SPIRITUAL HIERARCHY","General And ‘Specialised Knowledge"
"101","Payiram","THE SPIRITUAL HIERARCHY","Seven Holy Orders"
"102","Payiram","IN PRAISE OF GOD","Heads Of Seven Orders"
"103","Payiram","THE THREE GODS","Hara, Hari And Aya"
"104","Payiram","THE THREE GODS","Trinity—One Continuity"
"105","Payiram","THE THREE GODS","God Is One"
"106","Payiram","THE THREE GODS","Nine Aspects Of One Being"
"107","Payiram","THE THREE GODS","Trinity Are Kin"
"108","Payiram","THE THREE GODS","Trinity Are Co-Equals"
"109","Payiram","THE THREE GODS","All Gods Are But The One Siva"
"110","Payiram","THE THREE GODS","Assign Not Ranks To Trinity"
"111","Payiram","THE THREE GODS","One And Many"
"112","Payiram","THE THREE GODS","Siva Is Jiva"
"113","Tantra One","DIVINE INSTRUCTION","He Descended From Heaven and Filled Me With Grace"
"114","Tantra One","DIVINE INSTRUCTION","He Planted His Feet on My Heart"
"115","Tantra One","DIVINE INSTRUCTION","Pati (God), Pasu (Soul) and Pasa (Bondage) are Eternal"
"116","Tantra One","DIVINE INSTRUCTION","He Shattered Impurities Three—Egoity, Illusion and Karma"
"117","Tantra One","DIVINE INSTRUCTION","At His Glance, Impurities Vanish"
"118","Tantra One","DIVINE INSTRUCTION","He Broke Into My Soul's Silent Depths"
"119","Tantra One","DIVINE INSTRUCTION","Supreme Consciousness"
"120","Tantra One","DIVINE INSTRUCTION","He Roasted the Seeds of Recurring Births"
"121","Tantra One","DIVINE INSTRUCTION","Sivayogins Attain Turiya State in Mortal Body"
"122","Tantra One","DIVINE INSTRUCTION","Sivayoga is to Attain Self-Illumination"
"123","Tantra One","DIVINE INSTRUCTION","He Granted Me Bliss Supreme"
"124","Tantra One","DIVINE INSTRUCTION","Who Are the Siva-Siddhas"
"125","Tantra One","DIVINE INSTRUCTION","Siddhas Ascend the Thirty-Six Tattvas"
"126","Tantra One","DIVINE INSTRUCTION","They Walk Into Light of Siva"
"127","Tantra One","DIVINE INSTRUCTION","Siddhas Lose Themselves in Divine Tranquillity"
"128","Tantra One","DIVINE INSTRUCTION","Nature of Divine Tranquillity"
"129","Tantra One","DIVINE INSTRUCTION","Sleeping Still They Perceive"
"130","Tantra One","DIVINE INSTRUCTION","As Much as You Strive, So Much is His Grace Bestowed"
"131","Tantra One","DIVINE INSTRUCTION","The Glorious Beauty of Divine Dance"
"132","Tantra One","DIVINE INSTRUCTION","Attainment of Deathlessness and Birthlessness"
"133","Tantra One","DIVINE INSTRUCTION","Senses Controlled, They Saw This World and Next"
"134","Tantra One","DIVINE INSTRUCTION","Silence of Waveless Thought"
"135","Tantra One","DIVINE INSTRUCTION","When the Five Senses Take Cit's Way, They Reach Cit"
"136","Tantra One","DIVINE INSTRUCTION","Jiva Lies Enclosed in Siva"
"137","Tantra One","DIVINE INSTRUCTION","As Atom Merges in the Vast, Jiva Merges in Siva"
"138","Tantra One","DIVINE INSTRUCTION","Lord's Feet are the Final Refuge of Souls Illumined"
"139","Tantra One","DIVINE INSTRUCTION","Guru's Role in Soul's Illumination"
"140","Tantra One","DIVINE INSTRUCTION","Seek His Grace, the Senses Get Controlled"
"141","Tantra One","DIVINE INSTRUCTION","Fill Thy Thoughts With Nandi"
"142","Tantra One","DIVINE INSTRUCTION","Thus They Reached Heaven"
"143","Tantra One","TRANSITORINESS OF BODY","Dust Into Dust—That is Body's Way"
"144","Tantra One","TRANSITORINESS OF BODY","Vigil and Wisdom Alone Accompany the Departing Soul"
"145","Tantra One","TRANSITORINESS OF BODY","How Soon the Dead are Forgotten"
"146","Tantra One","TRANSITORINESS OF BODY","When Body Roof Falls, It Falls Forever"
"147","Tantra One","TRANSITORINESS OF BODY","Body Dead is to be Cremated"
"148","Tantra One","TRANSITORINESS OF BODY","Death Comes Sudden"
"149","Tantra One","TRANSITORINESS OF BODY","Pomp and Glory Lead But to the Grave"
"150","Tantra One","TRANSITORINESS OF BODY","Alive They Embraced the Body, Dead They Consigned it to Flames"
"151","Tantra One","TRANSITORINESS OF BODY","Nothing Remains, When Life Departs"
"152","Tantra One","TRANSITORINESS OF BODY","Kith and Kin Wept and Left"
"153","Tantra One","TRANSITORINESS OF BODY","Final Procession to Grave"
"154","Tantra One","TRANSITORINESS OF BODY","The Body Temple Crumbled; the Ninety-Six Tattvas Fled"
"155","Tantra One","TRANSITORINESS OF BODY","They Hurried the Body to Flames"
"156","Tantra One","TRANSITORINESS OF BODY","We do not learn from the death of others"
"157","Tantra One","TRANSITORINESS OF BODY","They Too Finally Depart Cleansing Themselves by a Bath"
"158","Tantra One","TRANSITORINESS OF BODY","When Body-Pot Breaks None Cares To Retain It"
"159","Tantra One","TRANSITORINESS OF BODY","Body is Burnt to Ashes; Beyond That We Know Not"
"160","Tantra One","TRANSITORINESS OF BODY","Body is Karmic Fruit"
"161","Tantra One","TRANSITORINESS OF BODY","Body is Fragile Frame"
"162","Tantra One","TRANSITORINESS OF BODY","The Lute Lay in Dust; the Music Ceased"
"163","Tantra One","TRANSITORINESS OF WEALTH","What Did the Body Leave Behind?"
"164","Tantra One","TRANSITORINESS OF WEALTH","Lamp Remained; Flame Died"
"165","Tantra One","TRANSITORINESS OF WEALTH","Those Who Do Not Adore the Lord, Lie writhing in the Seventh Hell"
"166","Tantra One","TRANSITORINESS OF WEALTH","Life's Procession Leads But to the Grave"
"167","Tantra One","TRANSITORINESS OF WEALTH","Nothing Can Lure Back the Life that Left"
"168","Tantra One","TRANSITORINESS OF WEALTH","Kingly regalia, domains and riches are impermanent"
"169","Tantra One","TRANSITORINESS OF WEALTH","Wealth waxes and wanes like the moon"
"170","Tantra One","TRANSITORINESS OF WEALTH","Your Shadow is With You, Does it help You? How About Wealth Then?"
"171","Tantra One","TRANSITORINESS OF WEALTH","The Bee Stores Honey Only to be Appropriated by Others; So is Your Hoarded Wealth"
"172","Tantra One","TRANSITORINESS OF YOUTH","Wealth is a Flood that Ebbs and Flows"
"173","Tantra One","TIRUMAN1 TRAM","Wealth is a Boat in Dangerous Waters"
"174","Tantra One","TIRUMAN1 TRAM","Earthly Treasures are Fleeting"
"175","Tantra One","TIRUMAN1 TRAM","Worldly Desires are Never-Ending"
"176","Tantra One","TIRUMAN1 TRAM","All Your Wealth Cannot Bribe Death Away"
"177","Tantra One","TIRUMAN1 TRAM","Rising Sun Sets; Glowing Youth Fades"
"178","Tantra One","TIRUMAN1 TRAM","Even a Life-time is not Enough to Know Him"
"179","Tantra One","TIRUMAN1 TRAM","While Life Still Throbs, Fix Your Mind on the Lord"
"180","Tantra One","TIRUMAN1 TRAM","Youth is Sugar-cane; Age is Nux Vomica"
"181","Tantra One","TIRUMAN1 TRAM","Time Fleets, So Centre yourself on the Lord"
"182","Tantra One","TRANSITORINESS OF LIFE","Think of the Lord Through Time's Cycles"
"183","Tantra One","TRANSITORINESS OF LIFE","The Body Perishes with the senses"
"184","Tantra One","TRANSITORINESS OF LIFE","Know Him the Eye of the eye"
"185","Tantra One","TRANSITORINESS OF LIFE","The Sixteen Kalas are Within; Why Then the Grave?"
"186","Tantra One","TRANSITORINESS OF LIFE","Before Youth Passes, Praise Him in Songs"
"187","Tantra One","TRANSITORINESS OF LIFE","The Bud Blossoms and Fades; So does Human Life"
"188","Tantra One","TRANSITORINESS OF LIFE","When Death's Summons Come, the Five Senses Desert the Body"
"189","Tantra One","TRANSITORINESS OF LIFE","Life's Drum Shattered to Pieces"
"190","Tantra One","TRANSITORINESS OF LIFE","Body is an Empty Vessel"
"191","Tantra One","TRANSITORINESS OF LIFE","Our Days are Numbered"
"192","Tantra One","NON-VIOLENCE","Everything decays"
"193","Tantra One","NON-VIOLENCE","Extract the food of Nectar"
"194","Tantra One","MEAT EATING—FORBIDDEN","Lord is the Light Beyond Visible Reach"
"195","Tantra One","MEAT EATING—FORBIDDEN","Pray and Perform Noble Deeds—This is the Law of Life Eternal"
"196","Tantra One","NOT COMMITTING ADULTERY","Share With Others Before You Eat"
"197","Tantra One","NOT COMMITTING ADULTERY","Don't Kill Even an Atom of Life"
"198","Tantra One","NOT COMMITTING ADULTERY","They Who Kill Reach Hell"
"199","Tantra One","EVIL WOMEN IS IGNOMINY","Meat Eaters Will Have to Face Hell's Torments"
"200","Tantra One","EVIL WOMEN IS IGNOMINY","Shun Sinful Living"
"201","Tantra One","EVIL WOMEN IS IGNOMINY","Seek not the Thorny Date; Ripened Jack-Fruit is at Hand"
"202","Tantra One","EVIL WOMEN IS IGNOMINY","Seek Not the Sour Tamarind: Sweet Mango is at Hand"
"203","Tantra One","EVIL WOMEN IS IGNOMINY","Adulterers Rush to Doom"
"204","Tantra One","IN VAIN PURSUIT OF ACCUMULATION","Pledge not Your Heart to Lust"
"205","Tantra One","IN VAIN PURSUIT OF ACCUMULATION","Incontinent Passion Spells Ruin"
"206","Tantra One","IN VAIN PURSUIT OF ACCUMULATION","Women's Charms unreliable"
"207","Tantra One","IN VAIN PURSUIT OF ACCUMULATION","Sweet Beginning, Bitter End"
"208","Tantra One","IN VAIN PURSUIT OF ACCUMULATION","Irretrievable Loss in Lust"
"209","Tantra One","RELATING TO SACRIFICIAL FIRE","Misery of Making a Living"
"210","Tantra One","RELATING TO SACRIFICIAL FIRE","Pre-Occupation With Filling the Stomach-Pit"
"211","Tantra One","RELATING TO SACRIFICIAL FIRE","Seek not to Fill the Stomach - Pit; Fill the Birth Pit"
"212","Tantra One","RELATING TO SACRIFICIAL FIRE","Light Wisdom's Lamp in Good Time"
"213","Tantra One","RELATING TO SACRIFICIAL FIRE","Lord Alone is Refuge from Harrying Births"
"214","Tantra One","RELATING TO SACRIFICIAL FIRE","Prosperity Springs From Sacrifice"
"215","Tantra One","RELATING TO SACRIFICIAL FIRE","They Give Before They Eat"
"216","Tantra One","RELATING TO SACRIFICIAL FIRE","Sacrifices Lead to Heaven"
"217","Tantra One","RELATING TO SACRIFICIAL FIRE","Karmas Depart When Mantras are Chanted"
"218","Tantra One","RELATING TO SACRIFICIAL FIRE","Sacrificial Fires Consume Sins"
"219","Tantra One","DHARMA OF BRAHMINS","It Scorches Karmic Evils"
"220","Tantra One","DHARMA OF BRAHMINS","Sacrifices Give Wealth Imperishable"
"221","Tantra One","DHARMA OF BRAHMINS","Lord is the Sacrificial Flame of the Heart"
"222","Tantra One","DHARMA OF BRAHMINS","He is the Fire Within All Fires"
"223","Tantra One","DHARMA OF BRAHMINS","Sacrificial Flame is Undying"
"224","Tantra One","DHARMA OF BRAHMINS","Brahmins Stand in Holy Path"
"225","Tantra One","DHARMA OF BRAHMINS","Through Vedanta They Seek the Endless Bliss"
"226","Tantra One","DHARMA OF BRAHMINS","They Incessant Chant Gayatri and Savitri Mantras"
"227","Tantra One","DHARMA OF BRAHMINS","They attained the Manifest State of God"
"228","Tantra One","DHARMA OF BRAHMINS","To Sunder Birth's Bonds is to Realize Brahmam"
"229","Tantra One","DHARMA OF BRAHMINS","Vedanta is to be Rid of Desires"
"230","Tantra One","DHARMA OF BRAHMINS","Tuft and Thread Alone do not Make a Brahmin"
"231","Tantra One","DHARMA OF BRAHMINS","Attributes of True Brahmins"
"232","Tantra One","DHARMA OF BRAHMINS","They Seek Samadhi State"
"233","Tantra One","DHARMA OF BRAHMINS","They Stand Firm in Vedanta Truth"
"234","Tantra One","THE PATH OF KINGS","True Brahmins Bring Prosperity to Earth"
"235","Tantra One","THE PATH OF KINGS","Through Vedanta They Scale the Heights of Siddhanta"
"236","Tantra One","THE PATH OF KINGS","They Seek Merger in Lord"
"237","Tantra One","THE PATH OF KINGS","They Vision Brahman in Aum"
"238","Tantra One","THE PATH OF KINGS","Death Fairer Than the Tyrant"
"239","Tantra One","THE PATH OF KINGS","Let the Ruler Observe Holy Law;"
"240","Tantra One","THE PATH OF KINGS","Ruler's Duty Towards Men of False Garb"
"241","Tantra One","THE PATH OF KINGS","Ruler's Duty to Impious Brahmins"
"242","Tantra One","THE PATH OF KINGS","Ruler's Duty to Impart Wisdom to Erring Brahmins"
"243","Tantra One","THE PATH OF KINGS","Ruler's Duty to Protect Cows, Women and Brahmins"
"244","Tantra One","THE GLORY OF RAINS","Ruler's Share—One-Sixth of the Subject's Produce"
"245","Tantra One","THE GLORY OF RAINS","Ruler's Duty to Defend the Territory"
"246","Tantra One","THE GLORY OF GIVING","Ruler to Punish Drunkards"
"247","Tantra One","IN PRAISE OF THE CHARITABLE","Ruler to Punish Those Who Deviate From Their Professed Faiths"
"248","Tantra One","IN PRAISE OF THE CHARITABLE","Vegetation Blooms"
"249","Tantra One","IN PRAISE OF THE CHARITABLE","Clear Stream"
"250","Tantra One","IN PRAISE OF THE CHARITABLE","Share Your Food With Others"
"251","Tantra One","IN PRAISE OF THE CHARITABLE","The Charitable Realize the Self"
"252","Tantra One","IN PRAISE OF THE CHARITABLE","Charity is Within the Reach of All"
"253","Tantra One","IN PRAISE OF THE CHARITABLE","Evils of Hoarding"
"254","Tantra One","IN PRAISE OF THE CHARITABLE","Give Charity When You Have"
"255","Tantra One","IN PRAISE OF THE CHARITABLE","Give Charity Here and Now"
"256","Tantra One","IN PRAISE OF THE CHARITABLE","By Your Charities the Lord Knows You"
"257","Tantra One","WAY OF THE UNCHARITABLE","Charity Leads to Life Eternal"
"258","Tantra One","WAY OF THE UNCHARITABLE","Charity and Devotion Twin Escorts to Heaven"
"259","Tantra One","WAY OF THE UNCHARITABLE","Charity is Your Life's Prop"
"260","Tantra One","WAY OF THE UNCHARITABLE","The Hoarders are Sinners"
"261","Tantra One","WAY OF THE UNCHARITABLE","Life is Fleeting; Give While You Live"
"262","Tantra One","WAY OF THE UNCHARITABLE","Give and Escape Hell"
"263","Tantra One","WAY OF THE UNCHARITABLE","All Ailments Assail, If in Charity You Fail"
"264","Tantra One","WAY OF THE UNCHARITABLE","End is Nigh; Do not Deny"
"265","Tantra One","TO BE LOVE-POSSESSED","Loneliness Comes of Denial"
"266","Tantra One","TO BE LOVE-POSSESSED","Compassion Leads to God"
"267","Tantra One","TO BE LOVE-POSSESSED","Denial Leads to Misery"
"268","Tantra One","TO BE LOVE-POSSESSED","Denial Leads to Sinful State"
"269","Tantra One","TO BE LOVE-POSSESSED","Giving is Aiming True"
"270","Tantra One","TO BE LOVE-POSSESSED","Love and Siva are One"
"271","Tantra One","TO BE LOVE-POSSESSED","Lay Love's Garland at the Lord's Feet"
"272","Tantra One","TO BE LOVE-POSSESSED","Melt in Love and Possess Him"
"273","Tantra One","SIVA KNOWS THOSE WHO LOVE HIM","Love Hara and See Him"
"274","Tantra One","SIVA KNOWS THOSE WHO LOVE HIM","Love Him, He Loves You"
"275","Tantra One","SIVA KNOWS THOSE WHO LOVE HIM","He is Enthroned in Love"
"276","Tantra One","SIVA KNOWS THOSE WHO LOVE HIM","His Love is Unending"
"277","Tantra One","SIVA KNOWS THOSE WHO LOVE HIM","His Love is Blessings All"
"278","Tantra One","SIVA KNOWS THOSE WHO LOVE HIM","Seek in Love the Heavenly Father"
"279","Tantra One","SIVA KNOWS THOSE WHO LOVE HIM","He is Our Refuge"
"280","Tantra One","LEARNING","Lord Rewards as Merit Befits"
"281","Tantra One","LEARNING","Lord Blends Life With Love"
"282","Tantra One","LEARNING","Divine Light in God-Love"
"283","Tantra One","LEARNING","Surrender in Love"
"284","Tantra One","LEARNING","Devotion Leads to Liberation"
"285","Tantra One","LEARNING","His Feet Visioned in Love"
"286","Tantra One","LEARNING","His Love is Inscrutable"
"287","Tantra One","LEARNING","Seek Him in Love"
"288","Tantra One","LEARNING","Seek Him, He Seeks You"
"289","Tantra One","LISTENING AND THUS CONTAINING","Be Steadfast in Devotion"
"290","Tantra One","LISTENING AND THUS CONTAINING","True Learning Leads to Liberation"
"291","Tantra One","LISTENING AND THUS CONTAINING","Illumined Souls Get the Inner Eye"
"292","Tantra One","LISTENING AND THUS CONTAINING","Learning Purifies"
"293","Tantra One","LISTENING AND THUS CONTAINING","Learning Leads to Renunciation"
"294","Tantra One","LISTENING AND THUS CONTAINING","Pure Knowledge is Guardian Angel"
"295","Tantra One","LISTENING AND THUS CONTAINING","Holy Books Help Scale Spiritual Heights"
"296","Tantra One","LISTENING AND THUS CONTAINING","Hara Stands Revealed to the Truly Learned"
"297","Tantra One","LISTENING AND THUS CONTAINING","Lord is no Support to the Ignorant"
"298","Tantra One","LISTENING AND THUS CONTAINING","The Truly Learned Attain Bliss"
"299","Tantra One","NON-LEARNING","He Resides in Learned Devotees' Hearts"
"300","Tantra One","NON-LEARNING","Listen to Words of Siva's Glory"
"301","Tantra One","NON-LEARNING","Listening to Holy Words Leads to Realization"
"302","Tantra One","NON-LEARNING","Obey Siva and Become Deva"
"303","Tantra One","NON-LEARNING","Adore Siva and Be Immortal"
"304","Tantra One","NON-LEARNING","Prayer Brings Grace"
"305","Tantra One","NON-LEARNING","He Forsakes not His Devotees"
"306","Tantra One","NON-LEARNING","Faith Intense Gives Bliss Eternal"
"307","Tantra One","NON-LEARNING","Listening to Holy Things is a Sure Prop"
"308","Tantra One","NON-LEARNING","A Stone-Cow to Scorners"
"309","Tantra One","THE MIDDLE PATH","Unite in Heart and Thought Towards Lord"
"310","Tantra One","THE MIDDLE PATH","The Unlearned are they Who hold not to Truth"
"311","Tantra One","THE MIDDLE PATH","Unlearned Realize not God's Pervasiveness"
"312","Tantra One","THE MIDDLE PATH","God Abides not in the Hearts of the Unlearned"
"313","Tantra One","ABSTAINING FROM DRINK","Unlearned of Hara's Ways Descend to Hell"
"314","Tantra One","ABSTAINING FROM DRINK","Unlearned Sport in Carnal Pleasures"
"315","Tantra One","ABSTAINING FROM DRINK","Lord is within as Above"
"316","Tantra One","ABSTAINING FROM DRINK","Unlearned do not See Him"
"317","Tantra One","ABSTAINING FROM DRINK","Avoid the Unlearned"
"318","Tantra One","ABSTAINING FROM DRINK","The Truly Learned have Vision of Sivajnana"
"319","Tantra One","ABSTAINING FROM DRINK","True Learning Brings Light Divine"
"320","Tantra One","ABSTAINING FROM DRINK","Middle Path is Wisdom"
"321","Tantra One","ABSTAINING FROM DRINK","Gods and Saints Stand in Middle path"
"322","Tantra One","ABSTAINING FROM DRINK","Walk With the Just"
"323","Tantra One","ABSTAINING FROM DRINK","The Just Adore His Feet"
"324","Tantra One","ABSTAINING FROM DRINK","Drunkards Lose Sense of Right and Wrong"
"325","Tantra One","ABSTAINING FROM DRINK","Sivananda Wine Brings Eternal Self-Forgetfulness"
"326","Tantra One","ABSTAINING FROM DRINKING","The Wicked Drink in Vama Tantra"
"327","Tantra One","ABSTAINING FROM DRINKING","Drinking in Vama Tantra Worship Leads to Perdition"
"328","Tantra Two","EIGHT HEROIC DEEDS OF SIVA","Truth Eludes Drunkards"
"329","Tantra Two","EIGHT HEROIC DEEDS OF SIVA","Followers of False Religion Neither Seek nor See Him"
"330","Tantra Two","EIGHT HEROIC DEEDS OF SIVA","Wine Stupefies Senses and Destroys Truth"
"331","Tantra Two","EIGHT HEROIC DEEDS OF SIVA","Joys of Sivananda Nectar"
"332","Tantra Two","EIGHT HEROIC DEEDS OF SIVA","True Sakti Worship Seeks Divine Nectar"
"333","Tantra Two","EIGHT HEROIC DEEDS OF SIVA","Sakti and Siva are One"
"334","Tantra Two","EIGHT HEROIC DEEDS OF SIVA","Divine Nectar Leads to Siddhis"
"335","Tantra Two","EIGHT HEROIC DEEDS OF SIVA","Yogis Seek Ambrosia of the Cranial Moon"
"336","Tantra Two","LINGA PURANAM","Drink Divine Nectar in Samadhi"
"337","Tantra Two","LINGA PURANAM","The Lord Corrects the Earth’s Balance Through"
"338","Tantra Two","LINGA PURANAM","Agastya—A Pervasive Light"
"339","Tantra Two","LINGA PURANAM","The Eight Mighty Deeds of Siva—Destruction of"
"340","Tantra Two","LINGA PURANAM","The Lord Punished Daksha"
"341","Tantra Two","LINGA PURANAM","How the Lord Punished Aya and Achutha"
"342","Tantra Two","DAKSHA’S SACRIFICE","How the Lord Destroyed Jalandhara"
"343","Tantra Two","DAKSHA’S SACRIFICE","The Lord Burnt the Cities Three"
